Países,Quantidade (Kg),Valor (US$),Ano,Preco_fechamento,Cambio%,Cambio,Minimo,Maximo,Quantidade (L),Valor (R$),Valor (L) US$,Valor (L) R$,CONTINENTE,Market_Share,Quantidade_Volume
Serra Leoa,8101,15182.0,2022,5.29,-5.09%,5.16,4.58,5.73,8141.71,78339.12,1.86,9.62,África,0.14,Alto
Sérvia,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Singapura,4322,15434.0,2022,5.29,-5.09%,5.16,4.58,5.73,4343.72,79639.44,3.55,18.33,,0.14,Médio
Suazilândia,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Suécia,5,18.0,2022,5.29,-5.09%,5.16,4.58,5.73,5.03,92.88,3.58,18.47,Europa,0.0,Muito Baixo
Suíça,1584,20863.0,2022,5.29,-5.09%,5.16,4.58,5.73,1591.96,107653.08,13.11,67.62,Europa,0.19,Médio
Suriname,1225,3360.0,2022,5.29,-5.09%,5.16,4.58,5.73,1231.16,17337.6,2.73,14.08,América do Sul,0.03,Baixo
Tailândia,432,1713.0,2022,5.29,-5.09%,5.16,4.58,5.73,434.17,8839.08,3.95,20.36,Ásia,0.02,Baixo
Taiwan,25,277.0,2022,5.29,-5.09%,5.16,4.58,5.73,25.13,1429.32,11.02,56.88,Ásia,0.0,Muito Baixo
Tanzânia,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
República Tcheca,1305,9997.0,2022,5.29,-5.09%,5.16,4.58,5.73,1311.56,51584.52,7.62,39.33,,0.09,Baixo
Togo,17317,25608.0,2022,5.29,-5.09%,5.16,4.58,5.73,17404.02,132137.28,1.47,7.59,África,0.23,Alto
Toquelau,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Trinidade Tobago,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Tunísia,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Turquia,418,503.0,2022,5.29,-5.09%,5.16,4.58,5.73,420.1,2595.48,1.2,6.18,Ásia,0.0,Baixo
Tuvalu,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,Austrália/Oceania,0.0,Sem Volume
Uruguai,637117,997367.0,2022,5.29,-5.09%,5.16,4.58,5.73,640318.59,5146413.72,1.56,8.04,América do Sul,9.11,Alto
Vanuatu,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,Austrália/Oceania,0.0,Sem Volume
Venezuela,23220,32351.0,2022,5.29,-5.09%,5.16,4.58,5.73,23336.68,166931.16,1.39,7.15,América do Sul,0.3,Alto
Vietnã,130,277.0,2022,5.29,-5.09%,5.16,4.58,5.73,130.65,1429.32,2.12,10.94,Ásia,0.0,Muito Baixo
